State,Gender,Age,Smoke,SmokingFriends,WorkingParents,SeenSmokerInSchool,SeenSmokerInPublicPlace,SeenSmokerInEnclosedPlace,SeenSmokerInHome,SmokingFather,SmokingMother
0,2,5,1,1,2,2,2,2,1,True,True
0,2,5,1,2,3,2,2,2,1,False,False
0,1,4,0,1,2,2,3,2,1,True,True
0,2,5,1,2,2,2,3,2,1,True,True
0,1,4,1,2,3,2,3,2,2,True,True
0,1,4,0,1,3,1,2,2,2,True,True
0,2,5,1,1,2,1,2,2,2,True,True
0,1,6,1,1,3,2,2,2,2,False,True
0,2,4,1,1,2,2,1,2,1,True,True
0,2,6,0,1,3,1,1,2,1,False,False
0,1,5,1,1,2,1,3,1,1,True,True
0,1,6,1,1,3,2,2,1,1,True,False
0,1,2,0,1,1,2,3,2,2,False,True
0,1,2,0,1,2,1,1,2,2,True,True
0,2,5,1,1,3,1,3,2,1,True,False
0,1,3,1,1,2,2,3,2,1,True,True
0,1,3,0,2,1,1,2,3,2,False,False
0,1,4,1,1,2,2,3,2,2,False,True
0,1,2,0,1,3,1,3,2,1,True,True
0,1,3,1,1,2,1,2,2,1,True,True
0,2,5,1,2,3,2,3,2,2,False,True
0,1,4,0,1,3,1,2,2,2,True,True
0,1,2,0,1,1,1,3,2,1,True,True
0,2,2,0,2,2,1,3,2,2,False,False
0,2,2,1,1,1,2,3,3,1,True,True
0,1,2,0,2,3,1,1,1,2,True,True
0,2,3,1,1,3,1,3,1,1,False,True
0,2,3,0,1,3,1,1,2,2,True,True
0,2,3,0,2,3,1,1,2,2,True,True
0,2,3,0,2,2,2,3,1,2,False,False
0,2,4,0,1,2,1,3,2,1,False,False
0,2,5,0,1,1,1,1,1,1,False,False
0,2,6,1,2,2,2,2,2,1,True,False
0,2,3,1,1,1,1,3,3,2,False,False
0,2,4,1,2,3,1,3,2,1,False,True
0,2,3,1,1,1,2,3,3,2,False,False
0,2,5,1,2,2,1,3,2,1,True,True
0,2,3,1,1,3,1,1,2,2,True,True
0,1,2,0,1,2,2,3,2,2,True,True
0,2,4,1,1,3,1,3,2,1,False,True
0,2,5,1,1,2,1,1,2,2,False,True
0,1,3,0,1,2,1,2,2,1,True,True
0,2,2,1,1,3,1,2,2,1,False,True
0,1,2,0,2,2,2,3,2,1,False,False
0,2,3,0,2,2,1,2,3,2,True,True
0,2,4,0,2,2,2,3,2,1,True,True
0,2,4,0,1,2,2,3,2,1,True,True
0,2,5,1,1,3,1,3,2,2,True,True
0,2,4,0,1,3,1,3,2,1,True,True
0,2,4,1,1,2,1,1,1,2,True,False
0,1,6,1,1,2,2,2,2,2,False,True
0,2,3,1,3,3,2,3,2,2,True,False
0,2,3,1,1,3,2,2,2,1,True,False
0,1,4,1,2,2,2,3,2,2,True,True
0,1,4,1,2,3,2,3,2,2,True,True
0,2,4,0,1,1,1,3,2,2,False,False
0,2,4,0,2,2,1,2,2,2,False,False
0,2,4,1,1,3,2,3,2,1,True,False
0,1,4,0,1,3,2,3,2,2,True,True
0,2,3,1,2,3,1,2,2,1,False,True
0,2,5,1,1,3,2,2,2,1,True,False
0,1,4,0,2,1,1,3,2,1,False,False
0,2,3,1,1,2,2,3,2,2,False,True
0,2,5,1,1,3,1,2,2,1,False,True
0,1,6,1,2,4,1,2,2,2,True,True
0,2,4,0,1,2,1,3,2,2,True,True
0,2,6,0,1,3,1,2,2,1,True,True
0,1,4,0,1,2,1,2,2,1,False,False
0,1,5,1,1,2,1,2,2,1,True,True
0,2,3,1,2,2,1,3,2,2,True,True
0,2,3,1,2,3,1,3,2,1,True,False
0,1,3,1,2,2,2,3,2,2,True,True
0,2,7,0,1,3,2,2,2,1,True,True
0,2,4,1,2,2,2,3,2,1,True,True
0,2,4,1,1,2,2,3,2,1,True,True
0,1,4,0,2,1,2,3,2,1,False,False
0,1,6,1,1,3,2,3,2,1,False,True
0,2,3,0,1,2,1,3,2,1,True,True
0,1,3,0,2,3,2,3,2,1,True,True
0,1,4,1,1,1,2,2,3,1,False,False
0,2,3,1,1,2,1,3,2,1,True,False
0,1,5,0,1,2,1,1,2,2,True,False
0,2,4,0,1,2,2,2,2,1,False,True
0,2,4,1,1,3,1,3,2,2,True,True
0,2,5,0,1,2,1,2,2,1,True,True
0,1,4,0,1,1,2,2,2,1,False,False
0,1,5,0,1,3,1,2,2,1,True,True
0,2,4,1,1,3,2,3,2,1,False,True
0,1,3,1,1,2,1,3,2,1,False,True
0,1,4,1,2,3,1,3,2,1,False,True
0,1,2,1,1,2,1,3,2,1,False,True
0,2,4,1,1,3,2,3,2,1,False,True
0,1,5,0,2,4,1,2,2,2,True,False
0,2,4,0,1,3,1,2,2,2,True,True
0,2,4,0,1,2,1,2,2,2,True,True
0,2,5,1,1,2,1,3,2,2,False,True
0,1,3,1,1,1,2,3,2,1,True,True
0,1,4,1,1,1,1,1,2,2,False,False
0,1,5,0,2,2,1,2,2,1,True,True
0,2,6,1,2,3,2,3,2,1,False,True
0,2,4,1,1,2,2,3,3,1,False,True
0,2,4,1,2,3,1,2,2,1,True,False
0,2,5,1,1,3,2,3,2,1,True,False
0,1,4,1,2,2,2,3,2,2,True,False
0,1,5,0,2,1,1,3,3,2,False,False
0,1,5,0,2,2,1,3,3,2,False,False
0,1,5,1,1,2,1,2,2,1,True,True
0,1,5,0,1,2,1,3,3,2,False,True
0,2,3,1,1,2,2,3,1,1,False,True
0,2,4,1,2,3,1,3,2,2,False,True
0,2,4,1,1,2,2,3,2,2,False,True
0,1,4,0,2,2,1,3,2,1,False,False
0,1,7,1,2,3,2,3,2,2,False,True
0,2,4,0,1,2,2,3,2,2,False,True
0,2,4,0,1,2,2,3,2,2,True,True
0,2,4,0,1,1,2,3,3,2,True,True
0,1,6,0,2,2,2,3,3,1,False,True
0,1,2,1,2,2,2,3,3,1,False,True
0,2,3,1,2,3,2,3,2,2,True,True
0,1,3,1,1,2,1,3,2,2,False,True
0,1,6,1,1,1,1,3,2,2,True,True
0,2,5,0,2,3,1,2,5,1,False,False
0,2,5,1,2,3,2,2,2,1,False,False
0,2,5,0,2,3,1,2,2,1,False,False
0,2,5,0,2,1,2,1,1,5,False,False
0,2,5,0,2,3,2,4,1,5,True,False
0,2,5,0,2,3,2,3,3,5,True,False
0,2,5,0,2,1,1,5,5,1,False,False
0,2,5,1,3,3,2,5,5,3,True,False
0,2,5,0,2,3,1,2,2,1,True,False
0,2,5,0,3,3,2,4,3,5,False,True
0,2,5,0,2,3,1,3,2,1,False,False
0,2,7,0,2,3,1,3,3,5,True,False
0,1,4,0,2,3,1,5,5,5,False,True
0,1,5,0,1,1,1,2,1,3,False,False
0,1,5,0,2,3,2,1,1,1,False,False
0,1,5,0,2,3,1,3,2,2,True,False
0,1,5,0,2,3,2,5,5,2,True,True
0,1,5,0,3,3,2,5,2,1,False,False
0,1,3,0,2,3,2,2,2,1,False,False
0,1,4,0,2,3,2,1,1,1,False,False
0,1,4,0,1,5,2,1,1,1,False,False
0,2,3,0,1,3,2,2,2,5,False,True
0,2,3,0,2,3,2,3,3,2,True,True
0,2,4,1,2,2,1,1,5,5,False,True
0,2,4,0,2,3,1,5,5,3,True,True
0,2,4,0,2,3,1,5,5,1,False,False
0,2,6,0,2,3,2,3,2,2,True,False
0,2,4,0,1,1,1,2,1,1,False,False
0,2,4,0,2,4,1,1,1,5,True,True
0,2,4,0,2,1,1,2,2,1,True,False
0,2,5,0,2,3,2,3,3,1,False,False
0,2,5,0,1,3,2,2,2,1,False,False
0,2,2,0,1,3,2,5,5,1,False,True
0,2,2,0,1,1,1,2,1,1,True,True
0,2,3,0,1,3,1,2,1,2,True,True
0,2,4,0,1,3,1,1,1,1,False,False
0,1,4,0,2,3,2,3,3,3,False,False
0,1,2,0,1,3,1,5,5,5,True,True
0,1,2,0,1,3,2,2,2,1,False,False
0,2,2,0,2,3,2,5,2,5,False,True
0,2,2,0,2,3,1,2,2,1,False,False
0,2,3,0,2,2,2,1,1,1,True,False
0,2,4,0,1,3,2,4,3,3,False,False
0,2,5,0,2,3,2,5,3,1,False,False
0,2,5,0,2,3,1,5,5,5,True,False
0,2,4,0,2,1,1,2,2,1,False,False
0,2,5,0,1,4,1,5,5,5,True,True
0,2,5,0,1,3,2,1,1,1,False,False
0,2,5,0,1,3,1,2,3,4,False,False
0,2,5,0,1,3,1,1,1,1,False,False
0,2,6,0,1,3,1,4,4,4,True,True
0,2,7,0,1,3,1,5,5,5,False,False
0,1,4,0,2,1,1,5,5,5,True,False
0,1,4,0,2,1,2,5,5,5,False,False
0,1,4,0,2,3,2,4,4,4,False,False
0,1,4,0,1,3,2,1,1,1,False,False
0,1,5,0,2,1,2,4,4,1,True,True
0,1,5,0,2,2,1,3,3,3,False,False
0,1,5,0,2,1,2,4,4,5,False,False
0,1,5,0,2,3,2,3,3,1,True,False
0,1,6,0,2,1,2,3,4,4,False,False
0,1,6,0,1,3,2,5,5,5,False,False
0,1,3,0,3,4,2,5,5,1,False,False
0,1,4,1,3,2,2,5,3,5,False,False
0,1,4,0,2,3,2,1,1,1,False,False
0,1,4,1,2,3,2,4,2,1,False,False
0,1,4,0,2,3,2,1,1,1,False,False
0,1,5,0,1,3,2,1,1,1,False,False
0,2,3,0,2,3,1,4,4,5,True,True
0,2,3,0,2,3,2,1,1,1,False,False
0,2,3,0,2,1,1,4,2,5,True,True
0,2,4,0,2,2,2,2,1,1,False,False
0,2,4,0,2,1,1,2,2,1,True,True
0,2,5,0,3,3,2,5,5,5,True,True
0,2,5,0,3,3,1,1,1,1,False,True
0,2,2,0,1,1,2,3,2,2,False,False
0,2,3,0,1,1,2,1,2,2,False,False
0,2,3,0,1,3,2,2,2,1,False,False
0,2,3,1,2,1,2,5,5,2,True,True
0,2,4,0,1,1,1,1,1,2,True,True
0,2,4,0,2,4,2,2,2,2,True,True
0,2,4,0,3,3,2,5,3,1,True,True
0,2,4,0,3,2,1,1,2,1,True,True
0,2,2,0,2,3,2,1,1,1,False,False
0,2,2,0,1,1,1,1,1,1,False,False
0,2,3,0,2,2,1,1,1,1,True,False
0,2,3,0,2,1,2,3,2,3,True,True
0,1,4,0,2,4,1,5,5,5,True,False
0,1,5,0,1,2,1,1,1,1,False,False
0,1,5,0,2,3,1,2,3,2,False,False
0,1,3,0,1,4,1,2,2,3,False,False
0,1,2,1,3,1,2,3,1,3,True,True
0,1,3,1,1,2,2,1,1,1,False,False
0,1,3,1,2,1,2,2,1,3,True,True
0,1,5,0,1,1,1,2,1,1,False,False
0,2,4,0,1,3,1,2,2,5,False,True
0,2,5,1,3,2,2,5,1,1,False,False
0,2,5,0,3,4,1,1,1,1,False,False
0,2,5,0,2,3,1,3,3,5,True,False
0,2,5,0,3,1,2,3,2,5,True,False
0,2,5,1,3,3,1,5,5,1,True,True
0,2,5,0,3,1,1,5,5,5,True,False
0,2,5,1,3,3,2,2,2,5,True,False
